year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price
1984,1,1,1,1,1444,1727,0,True,False,True,True,5054,Kevin Radial,,Thane,11980,365399
1976,1,2,2,0,1258,1806,323,False,False,True,True,60673,Erica Stravenue,,Thane,11980,516597
1957,1,4,3,1,2315,3468,0,True,True,True,True,130,Alexis Unions,,Thane,11980,825301
1958,1,4,3,1,2308,3457,0,True,True,True,True,130,Alexis Unions,,Thane,11980,868139
1989,1,4,3,0,2802,2794,0,True,True,True,True,444,White Ferry,,Thane,11980,818996
1989,1,5,4,0,3747,3746,0,True,True,True,True,6737,Moore Loop,,Thane,11980,900897
1980,1,2,2,0,1340,1340,683,False,False,True,True,25991,Karen Extension,,Mumbai,11549,44101
1972,1,2,1,0,896,1148,374,False,False,True,True,98922,Smith Turnpike,,Mumbai,11549,37797
1973,1,2,1,0,1154,1148,531,False,False,True,True,33,Michael Gateway,,Mumbai,11549,28981
1966,1,2,1,0,994,991,812,False,False,True,True,357,Paul Garden,,Mumbai,11549,41578
1977,1,3,1,1,1595,1843,0,True,False,True,True,98112,Wilson Port,,Nashik,11980,340199
1975,1,2,1,1,1183,1184,231,False,False,True,True,3380,Wilson Port,,Nashik,11980,283499
1978,1,3,2,0,1653,1963,0,False,False,True,True,8385,Gonzalez Skyway,,Nashik,11980,321304
1973,2,2,2,0,1208,1233,0,False,False,True,True,15623,Cortez Neck,,Nashik,11980,180183
1978,1,3,2,0,1649,1960,0,False,False,True,True,20666,Lopez Crossing,,Nashik,11980,239404
1983,1,3,3,1,3153,3162,0,True,True,True,True,81505,Steven Hollow,,Nashik,11980,1079819
1977,1,2,2,0,1321,1642,0,False,False,True,True,23128,Stephanie Parkways,,Nashik,11980,217349
1974,1,3,1,1,1634,2189,0,True,False,True,True,64831,Kelsey Lodge,,Nashik,11980,390604
2005,1,5,3,0,2126,2156,0,True,False,True,True,9282,Barber Forges,,Ahmednagar,11084,308697
2001,1,3,1,1,1400,1399,0,True,False,True,True,370,Nicole Circles,,Ahmednagar,11084,264600
1999,1,3,1,1,1280,1280,0,False,False,True,True,8304,Nicole Circles,,Ahmednagar,11084,258298
2002,1,4,2,0,1455,1451,0,False,False,True,True,8095,John Turnpike,,Ahmednagar,11084,135449
1950,1,1,1,0,515,1070,0,True,False,False,False,5036,John Turnpike,,Ahmednagar,11084,88200
1987,1,2,1,0,1014,1008,0,False,False,True,True,4569,Wood Lodge,,Ahmednagar,11084,83156
1987,1,2,1,0,1009,1002,0,False,False,True,True,4569,Wood Lodge,,Ahmednagar,11084,211680
2014,1,4,2,0,1883,2136,0,True,False,True,True,58556,Lopez Trail,,Ahmednagar,11084,340198
1975,1,3,1,1,995,1004,0,True,False,True,True,506,David Radial,,Ahmednagar,10272,350276
1986,1,2,1,1,1317,1565,0,True,True,True,True,66638,Peter Cove,,Kolhapur,11549,200341
1965,1,2,1,1,1555,2518,0,True,False,False,True,7063,Lee Shoal,,Kolhapur,11549,75602
2002,1,3,2,0,1788,1780,0,False,False,True,True,1333,Courtney Track,,Kolhapur,11549,258301
1993,1,3,3,1,2232,2339,0,True,False,True,True,4315,Miles Stream,,Kolhapur,10748,590937
1993,1,3,2,1,2034,2035,0,True,False,True,True,389,Miles Stream,,Kolhapur,10748,679144
1999,1,3,1,1,2036,2035,0,True,True,True,True,17236,Nicole Circles,,Kolhapur,10748,577076
1973,1,3,2,1,2280,2912,0,True,False,True,True,8351,Gomez Inlet,,Kolhapur,10748,434700
1978,1,3,2,1,2454,3203,0,True,False,True,True,57063,Scott Road,,Kolhapur,10748,396902
1973,1,3,2,1,2401,2892,0,True,True,True,True,143,Sanchez Loaf,,Kolhapur,10748,656460
1983,1,2,1,1,1735,1852,0,True,False,True,True,19420,Ronald Dale,,Kolhapur,10748,264604
1988,2,3,2,1,1799,1810,0,True,True,True,True,4168,Denise Ridges,,Kolhapur,10748,386819
1981,1,3,1,1,1415,1470,0,False,True,True,True,6948,Paula Mews,,Ahmednagar,11203,123476
1977,1,2,1,1,1298,1478,0,False,True,True,True,535,Anthony Squares,,Ahmednagar,11203,170098
2007,1,4,2,0,1871,1881,0,True,False,True,True,338,Maldonado Inlet,,Ahmednagar,11203,245699
2002,1,3,2,1,2462,2851,0,True,True,True,True,95064,Holland Street,,Kolhapur,10748,503998
1994,1,4,2,1,3315,3319,0,True,True,True,True,28647,Bryan Land,,Kolhapur,10748,608580
2000,1,4,2,1,3012,3342,0,True,True,True,True,54088,Dominguez Via,,Kolhapur,10748,995404
2005,1,3,1,1,1598,1677,0,False,False,True,True,1873,Stewart Grove,,Mumbai,11203,207902
2003,1,3,2,0,1293,1330,0,True,False,True,True,82164,Lori Burgs,,Mumbai,11203,176400
1990,1,5,4,0,2381,2588,0,False,False,True,True,365,Jessica Shoals,,Mumbai,11203,226801
2005,1,3,2,0,1615,1609,0,True,False,True,True,78716,Long Heights,,Mumbai,11203,207273
2005,1,3,2,0,1733,1821,0,True,False,True,True,5197,Long Heights,,Mumbai,11203,189002
2003,1,3,2,0,1318,1345,0,True,True,True,True,61626,Simpson Knolls,,Mumbai,11203,248846
2004,1,3,2,0,1539,1599,0,True,False,True,True,41047,Aguilar Causeway,,Mumbai,11203,220500
2009,1,6,5,0,3085,3089,0,False,False,True,True,902,Taylor Lakes,,Mumbai,11203,280346
2006,1,6,4,0,2835,3161,0,False,False,True,True,64145,Martinez Station,,Mumbai,11203,258296
1991,1,3,2,0,1572,1568,0,False,False,True,True,6809,Allen Plain,,Mumbai,11203,195297
2004,1,3,1,1,1639,1724,0,True,False,True,True,99099,Jennifer Key,,Mumbai,11203,220503
2005,1,4,2,0,1657,1722,0,True,False,True,True,343,Jennifer Key,,Mumbai,11203,195300
1960,1,3,2,0,1178,1582,0,False,False,False,False,33160,Cody Ways,,Mumbai,11203,125997
1981,1,3,1,1,1198,1390,0,False,False,True,True,57300,Michael Drive,,Mumbai,11203,165058
1963,1,2,1,0,1040,1165,0,False,False,True,True,191,Michael Drive,,Mumbai,11203,93238
1957,1,2,1,1,1065,1474,525,False,False,True,True,82212,Aaron Prairie,,Mumbai,11203,50402
2007,1,3,1,1,1561,1597,0,False,False,True,True,24,Aaron Prairie,,Mumbai,11203,161276
1957,1,2,1,0,706,1194,0,False,True,False,False,698,Wanda Crest,,Mumbai,11203,116553
2005,1,6,4,0,2583,2587,0,False,False,True,True,593,Wanda Crest,,Mumbai,11203,183330
1977,1,2,1,0,845,916,0,False,False,True,False,91797,Kurt Crescent,,Mumbai,11203,94502
1964,1,2,1,1,1566,2130,0,False,False,True,True,191,Jones Crescent,1822,Kolhapur,11980,464313
1955,1,2,1,0,956,1497,0,False,True,True,True,6063,Veronica Fall,,Kolhapur,11980,226797
1956,1,3,2,0,1638,1881,0,False,False,True,True,8481,Kristin Crossroad,,Kolhapur,11980,360363
2006,1,6,4,0,2466,2550,0,False,False,True,True,58021,Stevens Crest,,Mumbai,11203,270900
2003,1,3,2,0,1835,2115,0,True,False,True,True,7429,Bob Fort,,Mumbai,11203,245702
1945,1,3,2,0,1748,1865,0,False,False,False,False,9573,Christopher Ridge,,Mumbai,11203,86943
1985,1,2,1,0,956,954,0,False,False,False,False,751,Christopher Ridge,,Mumbai,11203,75597
1945,1,1,1,0,477,528,351,False,False,False,False,3523,Solis Cape,,Mumbai,11203,45994
1950,1,1,1,0,499,730,0,True,False,False,False,58108,Solis Cape,,Mumbai,11203,72453
1951,1,1,0,1,242,235,0,False,False,False,False,58108,Solis Cape,,Mumbai,11203,72447
1949,1,2,2,0,1010,1287,0,False,False,False,False,698,Bob Fort,,Mumbai,11203,113398
1948,1,2,0,1,980,1117,151,True,False,False,False,69474,Williams River,,Mumbai,11203,12604
1993,1,3,1,0,1234,1342,0,True,False,True,True,930,Duran Fork,,Mumbai,11203,163799
1982,1,2,1,1,1044,1112,0,False,False,True,True,991,Marisa Forge,3114,Mumbai,11203,91982
2004,1,3,1,1,1904,2151,0,True,False,True,True,27082,Sarah Wall,,Mumbai,11203,207273
2004,1,3,1,1,1904,2142,0,True,False,True,True,27082,Sarah Wall,,Mumbai,11203,268379
2004,1,3,2,1,1843,2224,0,True,False,True,True,10676,Mahoney Road,,Mumbai,11203,239397
1981,1,3,1,1,1242,1302,0,False,False,True,True,50571,Hunt Points,,Mumbai,11203,125997
1994,1,3,1,1,1153,1282,0,True,False,True,True,1269,Hunt Points,,Mumbai,11203,138602
1981,1,4,2,0,1244,1629,0,False,False,True,True,7504,Kelly Islands,,Mumbai,11203,144899
1989,1,3,2,0,1631,1707,0,True,False,True,True,180,Tapia Mews,,Mumbai,11203,211683
2002,1,3,2,0,1576,1566,0,True,True,True,True,1395,Weaver Shoal,,Mumbai,11203,260824
2005,1,3,1,1,1778,2060,0,True,False,True,True,25188,Aguilar Causeway,,Mumbai,11203,263967
2004,1,3,1,1,1593,1667,0,True,False,True,True,6471,Nicole Crest,,Mumbai,11203,226803
1981,1,2,1,1,2167,2689,0,False,False,True,True,16,Mccall Well,,Mumbai,11203,88203
1979,1,2,1,1,2161,2677,0,False,False,True,True,16,Mccall Well,,Mumbai,11203,129776
1979,1,2,1,1,2160,2681,0,False,False,True,True,16,Mccall Well,,Mumbai,11203,161280
1980,1,2,2,1,1380,1653,0,False,True,True,True,634,Joseph Park,,Mumbai,11203,157502
2004,1,3,2,0,2157,2156,0,True,False,True,True,74893,Thomas Passage,,Mumbai,11203,277203
1991,1,3,1,1,1411,1559,0,True,False,True,True,7404,Mcclain Spur,,Mumbai,11203,214202
1989,1,3,1,1,1411,1553,0,False,False,True,True,234,Dana Bridge,,Mumbai,11203,187739
1987,1,3,2,1,2066,2219,0,True,True,True,True,225,Tina View,,Thane,11071,346497
1985,1,2,1,1,1542,1651,0,True,False,True,True,21477,Perry Estates,,Thane,11071,327600
1979,1,3,1,1,1394,1793,0,False,True,True,True,5932,Michelle Union,,Thane,11071,304293
1979,1,3,1,1,1400,1788,0,False,True,True,True,651,Michelle Union,,Thane,11071,287279
1978,1,2,1,1,1241,1721,0,False,True,True,True,36,Michelle Union,,Thane,11071,301139
1977,1,3,1,1,1633,1865,0,False,True,True,True,2561,Krista River,,Thane,11071,315000
1978,1,2,1,1,1232,1597,0,False,True,True,True,570,Krista River,,Thane,11071,325079
1979,1,2,1,1,1468,1655,0,True,True,True,True,40522,Daniel Greens,,Thane,11071,340204
1984,1,3,1,1,1401,1565,0,True,False,True,True,361,Jones Grove,,Thane,11071,289798
1985,1,2,1,1,1373,1951,0,False,True,True,True,677,Rogers Street,,Thane,11071,319406
1965,1,3,1,1,1730,2330,326,False,True,True,True,6941,Matthew Points,,Thane,11071,362880
1966,1,3,2,1,2046,2038,0,False,False,True,True,9764,Matthew Points,,Thane,11071,277201
1962,1,3,1,1,1333,1528,231,False,False,True,True,18169,Angela Center,,Thane,11071,274682
1960,1,2,1,1,1067,1493,243,False,False,True,True,58500,Michelle Streets,,Thane,11071,296101
1960,1,2,1,1,1594,2021,0,False,False,True,True,324,Jimenez Spur,,Thane,11071,283501
1960,1,2,1,1,1308,2082,276,False,False,True,True,72972,Johnson Mountain,,Thane,11071,270902
1962,1,3,1,1,1335,1840,234,False,False,True,True,41292,Frank Vista,,Thane,11071,270897
1961,1,2,1,1,1061,1606,0,False,False,True,True,7472,Jones Unions,,Thane,11071,243182
1961,1,2,1,1,1290,1909,273,False,False,True,True,8074,Jones Unions,,Thane,11071,251996
1973,1,1,1,0,755,856,0,False,False,False,False,2215,Michelle Streets,2346,Thane,11071,113397
1974,1,1,1,0,747,849,0,False,False,False,False,14308,Michelle Streets,2614,Thane,11071,113402
1962,1,2,1,1,1336,1649,232,False,True,True,True,4086,Michelle Streets,,Thane,11071,338942
1961,1,2,1,1,1050,2144,0,False,True,True,True,4599,Michelle Streets,,Thane,11071,207902
1960,1,2,1,1,1063,1861,361,False,True,True,True,279,Frank Vista,,Thane,11071,180177
2007,1,2,1,0,1199,1196,0,False,False,True,True,65913,Kelly Trail,,Pune,11270,202226
1958,1,3,1,1,1297,1296,417,True,False,True,True,133,Davis Burgs,,Pune,11270,409500
2007,1,4,2,0,2230,2447,0,False,False,True,True,186,Knight Loop,,Pune,11270,277196
1983,1,3,2,0,1900,1908,0,False,False,True,False,65133,Wilson Via,,Pune,11270,230576
1988,2,2,2,1,2250,2247,0,True,True,True,True,1510,Gary Extension,,Pune,11270,850502
1990,2,1,1,1,1114,1250,0,False,False,False,False,1510,Gary Extension,,Pune,11270,850497
2015,1,4,3,1,5489,6574,0,True,False,True,True,24346,Kimberly Mount,,Kolhapur,11619,1196998
2008,1,4,3,1,4096,4607,0,True,True,True,True,941,Baldwin Brooks,,Kolhapur,11619,2381399
2006,1,4,3,1,3762,4256,0,True,True,True,True,33828,Murray Dale,,Kolhapur,11619,1644296
2006,1,4,3,1,4301,5078,0,True,True,True,True,498,Kenneth Place,,Kolhapur,11619,2457004
2005,1,3,3,0,2790,3049,0,True,True,True,True,742,Rodriguez Estate,,Kolhapur,10748,806400
1998,1,2,1,1,1785,1891,0,True,False,True,True,888,Linda Wall,,Thane,11071,376743
2003,1,3,2,0,1840,2025,0,True,False,True,True,7905,Hughes Terrace,,Thane,11071,396897
1986,1,1,1,1,1234,1538,0,True,False,True,True,22408,Adam Brooks,,Thane,11071,327604
1988,1,2,1,1,1010,1024,0,False,False,True,True,57139,Martinez Manor,2823,Thane,11071,214201
1997,1,3,2,1,2549,2546,0,True,True,True,True,68774,Rachel Courts,,Mumbai,11619,881996
1988,1,3,2,0,1620,1626,0,True,True,True,True,31352,Jones Grove,,Mumbai,11619,498327
1988,1,2,2,1,2859,3252,0,True,True,True,True,728,Kristen Inlet,,Mumbai,11619,787498
1985,1,2,3,1,2859,2967,0,True,False,True,True,392,Kristina Stream,,Mumbai,11619,472498
1979,1,3,2,1,2809,3394,0,True,False,True,True,2871,Kristina Stream,,Mumbai,11619,565744
1981,1,3,3,1,3011,3528,0,True,False,True,True,330,Rachael Drives,,Mumbai,11619,667800
1979,1,3,2,0,2117,2852,0,True,True,True,True,5538,Hoover Glen,,Mumbai,11619,587156
1988,1,2,3,0,3566,4292,0,True,True,True,True,56682,Stephanie Pines,,Mumbai,11619,1071001
1972,1,3,2,1,2248,3054,0,False,False,True,True,622,Lindsay Knoll,,Mumbai,11619,529199
1977,1,3,2,1,2428,3048,0,True,True,True,True,96308,Sabrina Causeway,,Mumbai,11619,1322997
1963,1,3,2,1,1792,2692,0,False,False,True,True,1096,Keith Rapids,,Mumbai,11619,326337
1969,1,3,2,1,2286,3059,0,False,False,True,True,2661,Traci Orchard,,Mumbai,11619,560699
1968,1,3,2,1,2283,3058,0,False,False,True,True,119,Simpson Parkway,,Mumbai,11619,573297
1969,1,2,1,1,1903,2396,0,False,False,True,True,5067,Anita Mount,,Mumbai,11619,478803
1980,1,4,3,1,2728,3228,0,True,True,True,True,4873,Cheryl Land,,Mumbai,11619,845464
1963,1,4,2,1,2686,3913,0,True,True,True,True,87793,Jessica Mountains,,Mumbai,11619,554399
1965,1,3,2,0,1885,2253,0,True,True,True,True,8390,Herbert Prairie,,Mumbai,11619,680396
1979,1,3,3,0,4252,4819,0,True,True,True,True,86790,King Way,,Mumbai,11619,932398
2006,1,4,2,1,3586,4092,0,True,False,True,True,434,Karen Center,,Mumbai,11619,1102497
2002,1,4,3,1,5394,6232,0,True,True,True,True,62540,Patricia Mall,,Mumbai,11071,3213000
2007,1,4,3,1,2926,3198,0,False,False,True,True,36,Brandy Oval,,Mumbai,10130,605427
1998,1,3,3,0,2430,2637,0,True,True,True,True,1209,Mike Grove,,Lewishaven,11071,944998
1998,1,5,3,1,2900,3102,0,True,True,True,True,16216,Kara Mall,,Lewishaven,11071,631261
1997,1,4,2,1,2595,2806,0,True,True,True,True,47458,Kara Mall,,Lewishaven,11071,466198
1997,1,4,2,1,2595,2796,0,True,True,True,True,156,Stephanie Cliff,,Lewishaven,11071,579597
1993,1,3,3,0,2188,2182,0,True,False,True,True,1836,Nielsen Terrace,,Lewishaven,11071,881999
1994,1,3,1,1,1902,1898,0,True,False,True,True,77203,Kristine Manor,,Lewishaven,11071,894602
1992,1,3,4,0,2645,2644,0,True,False,True,True,64781,Kristine Manor,,Lewishaven,11071,818997
1985,1,2,2,0,960,964,0,False,False,True,True,424,Cristian Trace,,Lewishaven,11071,175137
1983,1,2,1,1,1524,1518,0,True,False,True,True,7554,Gardner Stream,,Lewishaven,11071,409499
1983,1,3,2,0,2238,2428,0,True,False,True,True,468,Dean Center,,Lewishaven,11071,522323.7
1982,1,1,1,1,1656,1681,0,True,False,True,True,3684,Holmes Lodge,,Lewishaven,11071,326338
1983,1,2,1,1,1368,1370,0,False,False,True,True,800,Holmes Lodge,,Lewishaven,11071,289799
1985,1,2,3,0,2186,2283,0,True,False,True,True,5876,Mitchell Ferry,,Lewishaven,11071,296096
1982,1,2,3,0,2180,2284,0,True,False,True,True,95,Angela Valleys,1947,Lewishaven,11071,340198
1982,1,5,4,0,3206,3793,0,True,False,True,True,159,Padilla Avenue,2500,Lewishaven,11071,894603
1990,1,2,1,1,1090,1269,0,True,False,True,True,80,Frank Vista,,Lewishaven,11071,283498
1988,1,2,1,1,1365,1724,0,True,False,True,True,94534,Krystal Radial,,Lewishaven,11071,315001
1988,2,2,3,0,1812,1813,0,True,False,True,True,9963,Parker Walk,,Lewishaven,11071,396900
1988,1,2,2,0,1388,1396,0,True,False,True,True,48734,Parker Walk,,Lewishaven,11071,387452
1984,1,1,1,1,1344,1354,0,True,False,True,True,5969,Parker Walk,,Lewishaven,11071,263969
1984,1,2,2,0,1395,1396,0,True,False,True,True,4499,Parker Walk,,Lewishaven,11071,321296
1983,2,2,3,0,1808,1811,0,True,False,True,True,44132,Parker Walk,,Lewishaven,11071,378004
1983,2,2,3,0,1803,1814,0,True,False,True,True,5731,Parker Walk,,Lewishaven,11071,308698
1985,1,1,1,1,1347,1349,0,True,False,True,True,2537,Parker Walk,,Lewishaven,11071,216721
1982,1,2,2,0,1438,1434,0,False,False,True,True,993,Travis Springs,,Lewishaven,11071,220501
1980,1,3,1,1,1179,1253,0,True,False,True,True,2824,Gonzalez Roads,,Lewishaven,11071,264599
1972,1,2,1,1,1027,1426,0,False,False,True,True,98272,Prince Throughway,,Lewishaven,11980,248847
1973,1,3,1,1,1277,1808,0,False,False,True,True,4083,Watkins Trafficway,,Lewishaven,11980,301139
1965,1,3,1,1,1401,1464,0,True,True,True,True,875,Roberts Fork,,Lewishaven,11980,472502
1956,1,3,2,0,1643,1854,210,True,True,True,True,529,Wright Path,,Lewishaven,11980,400679
1964,1,2,1,1,1050,1373,0,False,True,True,True,436,Heather Meadow,,Lewishaven,11980,419582
1974,1,2,1,1,1115,1402,0,False,False,True,True,31014,Tyler Drives,,Lewishaven,11980,308699
1975,2,3,1,1,1173,1545,0,False,False,True,True,88203,Tyler Drives,,Lewishaven,11980,277204
1963,1,2,1,1,1427,1825,0,False,False,True,True,8736,Miller Wall,3539,Lewishaven,11980,260818
1960,1,3,1,1,2823,2871,0,True,True,True,True,27379,Davis Curve,,Lewishaven,11980,572037
1959,1,3,2,1,1756,2123,0,True,True,True,True,362,Jones Crescent,,Lewishaven,11980,976501
1989,2,5,4,1,5473,7190,0,True,True,True,True,6245,Mcconnell Land,,Lewishaven,11980,1469789
2008,2,4,4,1,6257,6933,0,True,True,True,True,7882,Jacob Cape,,Lewishaven,11980,1965602
1949,1,2,0,1,1146,1302,361,True,False,False,False,805,Elizabeth Junction,,Lewishaven,11980,573301
2011,2,3,2,0,4862,5065,0,True,True,True,True,49383,Jeffery Union,,Lewishaven,11980,1260002
1978,1,2,1,1,1345,2148,0,True,False,True,True,206,Kristen Mews,,Lewishaven,11980,250738
1980,1,2,2,1,2005,2061,0,True,False,True,True,164,Tammy Mountain,,Lewishaven,11980,515337
1972,2,2,1,0,837,841,227,False,False,True,True,1664,Jennifer Canyon,3410,Lewishaven,11980,108987
1971,2,2,1,0,842,838,228,False,False,True,True,240,Wayne Forest,3410,Lewishaven,11980,136082
1983,1,3,3,1,2625,2880,0,True,True,True,True,77574,Ramsey Oval,,Lewishaven,11980,752851
1978,2,2,2,0,1253,1524,0,False,False,True,True,53253,Maria Ridge,,Lewishaven,11980,238770
1986,1,5,5,0,5685,5916,0,True,True,True,True,762,Martin Prairie,,Lewishaven,11980,945004
1967,1,1,1,0,438,438,0,False,False,True,True,47295,Jessica Mountains,,Lewishaven,11980,145529
1957,1,3,2,1,2116,2977,0,True,True,True,True,948,Angela Harbor,,Lewishaven,11980,532353
1978,1,3,1,1,1703,2122,0,True,True,True,True,22781,Charles Groves,,Lewishaven,11980,352797
1988,1,6,3,1,2452,2457,0,False,True,True,True,261,Jessica Mills,,Lewishaven,11980,465567
1965,1,6,3,0,3025,3029,0,False,False,True,True,52948,Jessica Mills,,Lewishaven,11980,498957
1980,1,3,2,0,1756,2008,0,True,True,True,True,669,Weaver Shoal,,Lewishaven,11980,251374
2004,1,3,2,1,2630,2888,0,True,True,True,True,5990,Webb Terrace,,Lewishaven,11071,623704
2004,1,4,3,0,2395,2727,0,True,False,True,True,52406,Nicole Shores,,Lewishaven,11071,492026
2006,1,5,4,0,3439,3733,0,True,True,True,True,2212,White Squares,,Lewishaven,11071,711901
